Index,POSTCODE,CURRENT_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,TRANSACTION_TYPE,ENERGY_CONSUMPTION_CURRENT,TOTAL_FLOOR_AREA,ENERGY_TARIFF,FLOOR_LEVEL,GLAZED_TYPE,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,HOT_WATER_ENERGY_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,WINDOWS_ENERGY_EFF,WALLS_ENERGY_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,MAINHEAT_ENERGY_EFF,MAINHEATC_ENERGY_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,CONSTRUCTION_AGE_BAND,TENURE
92,53.4703,85,3,1,9,104,55,24,0,5,3,3,3,71,1,10,0,3,4,150,4,4,2,71,5,1958,5
97,53.4703,42,1,1,7,312,115,12,0,4,3,6,6,91,3,10,0,3,1,25,2,3,3,91,5,1900,1
100,53.2558,72,1,2,7,171,173,12,0,5,4,7,7,94,4,10,0,3,4,250,4,4,4,94,5,1971,1
101,53.5379,56,1,1,2,229,97,12,0,4,3,5,5,33,3,10,0,4,4,300,5,3,4,33,3,1940,3
102,53.3809,50,3,2,2,255,104,12,0,5,3,5,5,90,3,10,0,3,2,200,4,3,4,90,5,1958,3
104,53.5379,46,3,1,1,440,49,12,0,3,3,2,2,100,2,10,0,3,4,300,5,2,1,100,5,1958,5
105,53.3809,54,3,2,2,348,40,12,0,5,3,2,2,70,3,10,0,3,1,200,4,3,4,70,5,1958,3
113,53.5379,71,1,1,7,219,65,12,0,4,3,4,4,100,4,10,0,4,4,270,4,4,4,100,5,1993,1
118,53.5379,45,1,2,2,418,58,12,0,4,3,3,3,25,2,10,0,4,4,270,4,3,1,25,3,1958,3
120,53.3809,72,1,3,2,201,65,12,0,4,3,4,4,57,4,10,0,4,3,150,4,4,3,57,4,1979,3
121,53.5379,68,3,2,11,232,74,12,0,5,3,4,4,63,4,20,0,3,4,200,4,4,4,63,4,1993,5
127,53.3809,66,3,1,2,278,54,12,0,5,3,3,3,57,4,10,0,3,4,270,4,4,4,57,4,1987,3
129,53.5009,23,1,2,2,396,130,12,0,3,3,8,8,35,2,10,0,3,1,50,2,2,3,35,3,1915,3
135,53.5379,52,1,1,9,381,60,12,0,5,3,3,3,50,3,10,0,3,1,300,5,3,3,50,4,1915,5
140,53.2667,38,1,2,2,286,194,12,0,4,3,8,8,47,3,10,0,4,1,270,4,3,4,47,4,1915,3
146,53.2558,71,1,2,7,186,155,12,0,4,3,8,8,100,4,10,0,4,3,150,4,4,4,100,5,1958,1
152,53.2558,35,1,2,7,509,100,12,0,3,3,6,6,31,1,10,0,2,2,150,4,3,4,31,3,1971,1
153,53.2667,71,1,3,11,197,88,12,0,4,3,5,5,80,4,10,0,4,3,200,4,4,4,80,5,1958,5
159,53.5379,64,1,4,1,242,89,12,0,5,3,5,5,17,4,10,0,3,3,200,4,4,4,17,2,1971,5
160,53.5379,86,1,2,13,110,115,12,0,4,3,6,6,53,4,21,0,4,4,200,4,4,3,53,4,1999,1
162,53.2558,52,3,2,7,365,91,12,0,5,3,4,4,33,2,10,0,3,4,250,4,4,3,33,3,1971,1
168,53.5379,37,1,2,7,299,129,12,0,3,3,7,7,17,1,10,0,3,4,100,3,2,3,17,2,1987,1
187,53.5009,42,1,4,2,258,166,12,0,3,4,7,7,19,3,10,0,3,1,250,4,3,3,19,2,1900,3
188,53.2421,49,3,2,7,520,78,24,0,5,3,4,3,100,1,10,0,3,4,300,5,3,2,100,5,1971,1
192,53.3809,54,1,2,9,189,295,12,0,5,3,8,8,23,3,10,0,3,2,100,3,3,4,23,2,1971,1
198,53.5379,59,1,4,2,308,87,12,0,5,3,4,4,100,4,10,0,3,1,200,4,4,4,100,5,1900,3
201,53.5379,51,1,1,7,349,91,12,0,5,3,5,5,100,4,20,0,3,1,300,5,4,4,100,5,1940,1
202,53.2558,74,1,2,7,163,169,12,0,4,3,8,8,31,4,11,0,4,4,250,4,4,4,31,3,1999,1
208,53.2558,44,3,2,7,321,69,12,0,5,3,2,2,100,2,10,0,3,4,100,3,2,4,100,5,1900,1
216,53.2667,50,1,2,2,253,108,12,0,4,3,5,5,100,3,10,0,4,1,300,5,3,4,100,5,1915,3
227,53.2558,47,3,3,7,415,91,12,0,3,3,3,3,44,4,20,0,3,2,12,1,4,3,44,3,1940,1
232,53.3809,62,1,2,7,161,252,12,0,4,3,7,7,100,3,10,0,4,2,250,4,3,4,100,5,1900,1
234,53.4703,46,1,4,14,478,70,12,0,3,3,5,4,80,3,10,0,3,2,250,4,4,3,80,5,1958,1
236,53.5379,76,1,2,2,164,82,12,0,4,3,4,4,100,4,12,0,4,4,300,5,4,4,100,5,2004,3
237,53.3809,50,1,2,7,337,167,12,0,4,3,7,7,50,2,20,0,4,3,150,4,4,3,50,4,1940,1
242,53.2558,61,1,2,7,239,163,12,0,3,3,5,5,19,4,10,0,3,3,100,3,4,4,19,2,1971,1
244,53.5379,50,1,1,7,366,89,12,0,5,3,5,5,22,4,10,0,3,1,250,4,4,3,22,2,1915,1
247,53.4703,61,3,1,1,544,53,24,0,4,3,3,3,83,3,10,0,4,4,300,5,3,3,83,5,1958,5
249,53.2421,64,3,2,7,262,69,12,0,5,3,4,4,63,4,10,0,3,3,300,5,4,3,63,4,1971,1
251,53.5379,63,1,1,7,262,79,12,0,4,3,5,5,50,3,10,0,4,4,150,4,4,3,50,4,1987,1
254,53.3809,35,1,2,7,313,159,12,0,4,3,8,8,76,3,10,0,4,1,12,1,3,4,76,5,1900,1
261,53.5379,74,1,2,7,149,311,12,0,4,3,11,11,100,4,12,0,4,4,200,4,4,4,100,5,2004,1
263,53.2558,62,3,2,7,261,95,12,0,5,3,4,4,58,4,10,0,3,4,250,4,4,4,58,4,1971,1
264,53.2558,66,3,2,7,266,71,12,0,4,3,3,3,100,4,10,0,4,3,100,3,4,4,100,5,1971,1
269,53.5379,75,1,3,2,162,87,12,0,5,3,5,5,60,4,10,0,3,4,150,4,4,3,60,4,1979,3
279,53.5379,64,1,1,7,275,84,0,0,5,3,5,5,100,4,10,0,3,1,200,4,4,4,100,5,1915,1
287,53.5379,66,1,4,7,245,97,12,0,3,3,5,5,100,4,20,0,3,1,250,4,4,4,100,5,1915,1
288,53.5379,59,1,1,2,216,96,12,0,4,3,5,5,17,3,10,0,4,4,150,4,3,4,17,2,1940,3
297,53.5379,55,1,1,7,329,82,12,0,5,3,5,5,100,4,20,0,3,1,100,3,4,4,100,5,1915,1
306,53.5507,75,3,2,7,159,218,12,0,4,3,7,7,92,4,10,0,4,3,270,4,4,4,92,5,1979,1
312,53.2667,37,3,2,7,320,117,12,0,5,3,5,5,38,1,10,0,3,3,100,3,2,3,38,3,1971,1
313,53.2558,68,1,2,7,219,120,12,0,5,3,6,6,67,4,10,0,3,4,200,4,4,4,67,4,1987,1
314,53.3809,64,1,2,7,230,176,0,0,4,3,7,7,62,4,10,0,4,4,200,4,4,4,62,4,1940,1
315,53.5379,54,1,1,7,354,89,0,0,3,3,4,4,22,4,10,0,3,2,150,4,4,2,22,2,1958,1
324,53.2558,61,1,1,7,302,67,12,0,3,3,4,4,75,3,10,0,3,4,100,3,4,3,75,5,1958,1
335,53.3809,70,1,1,1,208,92,12,0,5,3,5,5,22,4,10,0,3,3,250,4,4,4,22,2,1940,5
337,53.5379,51,1,3,7,377,78,12,0,5,3,5,4,89,3,20,0,3,1,250,4,3,2,89,5,1915,1
348,53.5379,57,1,3,7,321,87,12,0,4,3,4,4,10,4,10,0,4,2,25,2,4,1,10,2,1958,3
352,53.5379,57,1,3,7,352,67,12,0,5,3,4,4,75,4,20,0,3,1,150,4,4,4,75,5,1915,1
353,53.2421,85,1,2,12,108,199,12,0,5,3,7,7,87,4,11,0,3,4,300,5,4,4,87,5,1999,1
354,53.5379,86,1,3,7,88,100,12,0,4,3,5,4,100,4,10,0,4,3,200,4,4,4,100,5,1971,1
360,53.5379,59,1,1,7,255,144,12,0,4,3,7,7,36,4,20,0,4,1,270,4,4,4,36,3,1915,1
365,53.3809,70,2,2,1,205,105,12,1,5,3,4,4,91,3,0,0,3,4,300,5,4,4,91,5,1987,5
369,53.2667,69,1,4,7,228,83,12,0,5,3,5,5,73,4,10,0,3,4,250,4,4,4,73,5,1958,1
380,53.3809,62,1,2,5,276,104,12,0,0,3,8,8,29,3,10,0,1,3,300,5,4,4,29,3,1979,3
390,53.5379,64,1,1,2,266,83,0,0,5,3,5,5,100,4,10,0,3,1,200,4,4,4,100,5,1915,3
396,53.2558,69,3,1,2,214,66,24,0,5,3,3,3,100,4,10,0,3,3,270,4,4,4,100,5,1971,3
397,53.2667,61,3,2,7,199,118,12,0,5,3,6,6,50,3,10,0,3,4,250,4,3,4,50,4,1993,1
399,53.5817,59,3,2,2,293,76,12,0,5,3,4,4,71,4,10,0,3,2,400,5,4,4,71,5,1971,3
408,53.3809,71,3,2,7,190,87,12,0,4,3,4,4,24,4,12,0,4,4,200,4,4,4,24,2,2004,1
410,53.5817,70,1,1,1,207,84,12,0,3,3,4,4,50,4,10,0,3,4,250,4,4,4,50,4,1958,5
418,53.5379,68,3,2,7,201,121,12,0,4,3,5,5,42,4,10,0,4,4,250,4,4,4,42,3,1979,1
420,53.5379,28,1,2,7,368,114,12,0,5,3,5,5,22,1,10,0,3,1,270,4,2,4,22,2,1915,1
421,53.3809,63,3,2,7,297,67,12,0,4,3,4,4,71,4,10,0,4,4,75,3,4,4,71,5,1993,1
424,53.4703,60,1,1,13,328,82,12,0,4,3,3,3,100,2,10,0,4,4,100,3,4,3,100,5,1900,1
427,53.5379,73,1,4,2,189,59,12,0,4,3,3,3,30,4,12,0,4,4,250,4,4,4,30,3,2004,3
434,53.3809,66,3,2,7,238,109,12,0,3,3,5,5,85,4,10,0,3,4,100,3,4,4,85,5,1987,1
437,53.2558,63,1,1,0,292,72,12,0,3,3,4,4,78,3,11,0,3,4,75,3,4,2,78,5,1999,3
452,53.3809,71,1,2,7,178,142,12,0,4,3,7,7,48,4,22,0,4,4,200,4,4,3,48,4,2004,1
455,53.3809,66,3,2,7,241,109,12,0,5,3,5,5,42,4,10,0,3,4,150,4,4,4,42,3,1987,1
464,53.5009,56,1,1,2,250,75,12,0,5,3,4,4,32,3,10,0,3,3,250,4,3,2,32,3,1958,3
474,53.5379,57,3,4,7,363,56,12,0,5,3,3,3,14,3,10,0,3,4,200,4,4,3,14,2,1993,1
475,53.2421,43,3,1,2,313,80,12,0,5,3,5,5,67,2,10,0,3,2,150,4,2,3,67,4,1971,3
478,53.5379,71,1,2,7,185,110,12,0,4,3,6,6,11,4,12,0,4,4,150,4,4,4,11,2,2004,1
479,53.5379,70,1,3,7,229,53,12,0,5,3,3,3,57,4,20,0,3,4,100,3,4,4,57,4,1987,1
483,53.2421,69,3,2,7,215,90,12,0,5,3,5,5,80,4,11,0,3,4,200,4,4,4,80,5,1999,1
484,53.4703,64,1,1,7,203,88,12,0,4,3,5,5,28,2,21,0,4,4,200,4,3,4,28,3,1999,1
488,53.2667,67,1,1,2,234,86,12,0,5,3,5,5,100,4,10,0,3,3,300,5,4,4,100,5,1940,3
491,53.5507,50,1,1,14,395,97,12,0,0,3,5,5,75,4,10,0,1,2,200,4,4,1,75,5,1915,3
494,53.5379,42,1,2,7,254,173,24,0,5,3,9,9,39,2,10,0,3,4,100,3,2,4,39,3,1993,1
495,53.3809,39,1,1,2,347,79,12,0,5,3,4,4,50,1,10,0,2,4,150,4,2,1,50,4,1915,3
499,53.5379,75,1,1,2,182,53,12,0,4,3,3,3,88,4,12,0,4,4,270,4,4,4,88,5,2004,3
501,53.2667,73,1,3,7,175,105,12,0,3,3,5,5,78,4,21,0,3,4,250,4,4,4,78,5,1999,1
504,53.4703,65,3,1,2,310,51,12,0,5,3,2,2,60,4,10,0,3,3,250,4,4,4,60,4,1979,3
524,53.3809,66,3,1,12,229,58,24,0,4,3,3,3,83,1,10,0,4,4,250,4,4,3,83,5,1958,5
525,53.5379,75,1,4,14,160,110,12,0,4,3,6,6,43,4,21,0,4,4,200,4,4,4,43,3,1999,3
530,53.2667,71,3,1,1,240,52,12,0,4,3,3,3,67,4,10,0,4,4,250,4,4,4,67,4,1958,5
531,53.5379,56,1,2,7,199,163,12,0,4,4,10,10,21,3,11,0,4,4,200,4,3,3,21,2,1999,1
534,53.2558,60,1,2,7,253,175,12,0,3,3,7,7,25,2,10,0,3,4,270,4,4,4,25,3,1979,1
536,53.2558,59,1,2,7,279,157,12,0,4,3,8,8,76,4,10,0,4,2,400,5,4,4,76,5,1971,1
540,53.5379,69,1,3,7,230,77,12,0,5,3,5,5,100,4,20,0,3,1,200,4,4,4,100,5,1915,1
548,53.5379,64,1,4,7,282,67,12,0,5,3,4,4,100,4,10,0,3,1,200,4,4,4,100,5,1915,1
552,53.2421,77,2,3,1,180,37,12,1,3,3,2,2,14,4,0,0,3,4,200,4,4,4,14,2,1993,5
557,53.2558,69,1,2,7,221,83,12,0,4,3,5,5,100,4,10,0,4,4,75,3,4,4,100,5,1958,1
564,53.2421,49,1,4,7,225,174,12,0,3,3,2,2,86,3,10,0,3,1,150,4,3,4,86,5,1900,1
572,53.5817,62,3,1,1,284,52,24,0,5,3,3,3,33,4,10,0,3,4,150,4,4,4,33,3,1940,5
574,53.5379,69,1,3,7,225,78,24,0,4,3,5,5,100,4,10,0,4,1,100,3,4,4,100,5,1940,1
585,53.2558,68,1,2,14,256,118,12,0,0,1,8,8,17,3,10,0,3,2,50,2,4,2,17,2,1979,1
586,53.5817,26,1,1,0,412,100,12,0,0,3,5,5,67,3,20,0,1,1,250,4,3,3,67,4,1900,1
595,53.5379,47,1,2,2,255,124,24,0,5,3,4,4,43,3,10,0,3,1,300,5,3,4,43,3,1900,3
596,53.5379,68,1,3,3,231,59,0,0,5,3,4,4,80,4,10,0,3,1,100,3,4,4,80,5,1915,1
598,53.5379,71,1,1,7,203,96,12,0,4,3,4,4,83,4,10,0,4,3,250,4,4,4,83,5,1971,1
607,53.2667,76,1,3,7,157,149,12,0,5,3,4,4,100,4,11,0,3,4,200,4,4,4,100,5,1999,1
612,53.3809,58,3,2,2,195,137,12,0,3,3,6,6,55,3,10,0,3,4,250,4,3,3,55,4,1987,3
616,53.2667,63,1,3,11,279,96,12,0,5,3,5,5,60,3,10,0,3,3,250,4,4,3,60,4,1958,5
620,53.2667,64,1,1,14,230,59,12,0,3,3,3,3,88,2,11,0,3,4,270,4,3,4,88,5,1999,1
621,53.2667,60,1,1,7,292,86,12,0,3,4,6,6,100,4,10,0,3,2,300,5,4,4,100,5,1940,1
624,53.5379,34,1,4,7,514,92,12,0,3,3,6,2,8,2,10,0,3,1,100,3,3,2,8,1,1915,1
625,53.2667,71,1,1,7,207,75,12,0,3,3,5,5,22,4,11,0,3,4,250,4,4,4,22,2,1999,1
634,53.2558,71,1,2,7,183,206,24,0,5,3,8,8,81,4,10,0,3,4,200,4,4,5,81,5,1987,1
635,53.3809,55,3,1,1,403,53,12,0,5,3,3,3,33,2,10,0,3,3,300,5,4,3,33,3,1958,5
636,53.5379,58,1,3,2,296,85,12,0,5,3,4,4,30,4,20,0,3,1,100,3,4,3,30,3,1915,3
638,53.3809,32,1,1,7,261,102,24,0,5,3,6,5,75,1,10,0,3,2,200,4,2,3,75,5,1958,1
639,53.2558,64,1,2,2,270,82,12,0,4,3,4,4,60,4,10,0,4,3,12,1,4,4,60,4,1971,3
642,53.3809,68,1,2,7,227,98,12,0,4,3,5,5,18,4,10,0,4,4,270,4,4,4,18,2,1940,1
645,53.2558,51,1,1,7,407,72,24,0,3,3,4,4,67,3,10,0,3,2,270,4,4,3,67,4,1971,1
647,53.5379,70,1,4,1,212,77,12,0,5,3,3,3,56,4,10,0,3,4,200,4,4,4,56,4,1958,5
649,53.2667,76,1,1,7,158,118,12,0,4,3,5,5,100,4,12,0,4,4,200,4,4,4,100,5,2007,1
672,53.2558,77,3,2,7,180,105,12,0,5,3,4,4,22,4,10,0,3,3,270,4,4,4,22,2,1971,1
675,53.2667,59,3,2,7,326,83,12,0,3,3,5,5,25,3,10,0,3,4,270,4,4,4,25,3,1987,1
676,53.3809,37,3,1,0,359,82,12,0,3,3,4,4,70,2,10,0,3,2,200,4,3,4,70,5,1971,3
682,53.3809,67,1,1,3,240,62,0,0,3,3,4,4,50,4,10,0,3,4,250,4,4,4,50,4,1987,1
690,53.5379,64,1,1,9,182,99,12,0,3,3,5,5,43,3,10,0,3,4,100,3,4,1,43,3,1940,1
696,53.2667,58,1,1,13,735,46,24,0,5,3,4,4,30,1,10,0,3,1,150,4,3,2,30,3,1915,1
700,53.3809,68,1,4,2,247,65,12,0,5,3,4,4,29,4,20,0,3,3,200,4,4,3,29,3,1958,3
702,53.5379,50,1,2,7,326,195,0,0,5,3,7,7,77,4,20,0,3,1,300,5,4,4,77,5,1900,1
703,53.3809,45,1,1,7,460,74,24,0,3,3,4,4,13,3,10,0,2,2,150,4,4,3,13,2,1958,1
726,53.2667,78,1,1,7,140,86,12,0,4,3,4,4,80,4,12,0,4,4,150,4,4,4,80,5,2007,1
728,53.2667,60,3,2,7,247,214,12,0,3,3,8,8,75,4,10,0,3,4,350,5,4,5,75,5,1971,1
737,53.5379,70,1,3,7,189,151,0,0,3,3,6,6,29,4,10,0,3,1,270,4,4,3,29,3,1915,1
754,53.2667,68,1,1,0,206,137,12,0,4,3,6,6,88,4,10,0,4,3,300,5,4,4,88,5,1958,3
757,53.5379,59,1,3,7,297,107,12,0,3,2,4,4,86,3,10,0,3,1,270,4,4,3,86,5,1915,1
759,53.5379,63,1,1,7,272,81,12,0,4,3,5,5,22,4,10,0,2,4,150,4,4,3,22,2,1971,3
761,53.4703,40,1,1,0,331,96,12,0,3,3,5,5,92,3,10,0,3,2,200,4,3,4,92,5,1958,1
774,53.5379,53,3,2,7,356,81,24,0,4,3,5,5,100,2,20,0,4,4,400,5,4,4,100,5,1979,1
776,53.5379,62,3,2,1,287,66,12,0,5,3,3,3,86,4,10,0,3,4,300,5,4,3,86,5,1958,5
778,53.2421,75,1,1,2,161,83,12,0,4,3,5,5,27,4,12,0,4,4,250,4,4,5,27,3,2007,3
780,53.3809,74,1,3,2,187,66,12,0,4,3,4,4,54,4,12,0,4,4,200,4,4,4,54,4,2004,3
781,53.2667,44,1,2,5,284,154,12,0,3,3,14,14,19,2,10,0,2,4,250,4,3,1,19,2,1971,1
783,53.2667,60,1,2,7,397,101,24,0,3,3,4,4,70,1,10,0,3,3,100,3,3,4,70,5,1971,1
784,53.2421,52,3,2,7,368,75,12,0,3,3,4,4,43,2,10,0,3,4,270,4,4,3,43,3,1971,0
785,53.3809,54,1,4,2,341,112,12,0,5,3,5,5,33,4,10,0,2,1,50,2,4,3,33,3,1900,3
790,53.5379,72,1,1,2,199,66,12,0,4,3,4,4,60,4,12,0,4,4,250,4,4,4,60,4,2004,3
795,53.2558,61,1,2,0,285,95,12,0,0,1,5,5,3,3,10,0,3,4,150,4,4,4,3,1,1993,1
798,53.2558,73,2,1,1,365,40,24,1,3,3,2,2,25,3,0,0,3,4,250,4,3,2,25,3,1958,5
801,53.2667,59,3,2,7,224,89,12,0,5,3,4,4,69,3,10,0,3,4,270,4,3,5,69,4,1971,1
803,53.2667,69,1,3,2,262,56,24,0,5,3,3,3,57,3,11,0,3,4,200,4,4,4,57,4,1999,3
808,53.5379,69,1,2,5,203,152,12,0,5,3,6,6,79,4,11,0,3,4,250,4,4,3,79,5,1999,1
823,53.2667,58,1,2,7,378,206,24,0,4,4,8,8,94,2,10,0,4,4,100,3,3,3,94,5,1987,1
824,53.5379,37,1,2,7,303,130,12,0,4,3,6,6,23,2,10,0,4,1,270,4,3,3,23,2,1900,1
829,53.2667,76,1,3,14,164,85,12,0,5,3,5,5,100,4,10,0,3,4,270,4,4,4,100,5,1958,1
831,53.2558,70,1,2,7,211,96,12,0,5,3,5,5,100,4,20,0,3,4,150,4,4,3,100,5,1987,1
832,53.2558,59,1,1,7,292,80,12,0,4,3,5,5,56,5,10,0,4,1,200,4,4,4,56,4,1915,1
833,53.5009,61,3,1,12,286,51,24,0,4,3,3,3,100,1,10,0,4,4,200,4,4,3,100,5,1958,5
836,53.4703,46,3,2,7,277,116,12,0,3,3,5,5,32,2,10,0,3,4,200,4,2,3,32,3,1993,1
838,53.3809,62,1,1,7,176,149,12,0,4,3,7,7,60,3,10,0,4,2,50,2,3,4,60,4,1940,1
841,53.5379,27,1,2,2,413,96,12,0,4,3,6,6,7,3,10,0,4,2,200,4,3,3,7,1,1900,3
843,53.3809,55,1,2,13,236,186,12,0,4,3,8,8,95,4,10,0,4,2,200,4,4,4,95,5,1900,1
846,53.5379,71,1,4,7,217,54,24,0,5,3,3,3,100,4,11,0,3,4,100,3,4,4,100,5,1999,1
847,53.5379,50,1,4,7,369,110,12,0,5,3,6,6,100,3,20,0,3,1,100,3,4,3,100,5,1915,1
862,53.2667,22,1,2,7,395,155,24,0,3,3,8,8,11,1,10,0,3,2,100,3,2,4,11,2,1971,1
867,53.2421,67,1,1,7,241,88,12,0,5,3,4,4,88,4,10,0,3,3,300,5,4,4,88,5,1915,1
869,53.5379,57,1,1,2,280,125,12,0,5,3,6,6,38,4,20,0,3,1,150,4,4,4,38,3,1915,3
870,53.3809,40,1,2,7,268,185,24,0,4,3,7,7,56,2,10,0,4,3,150,4,2,3,56,4,1979,1
871,53.2667,58,3,4,2,429,50,24,0,5,3,3,2,83,2,10,0,3,4,300,5,2,2,83,5,1940,3
875,53.3809,68,1,2,7,204,233,12,0,4,3,7,7,56,4,10,0,4,1,270,4,4,4,56,4,1940,1
881,53.2558,68,1,1,11,230,88,24,0,4,3,5,5,100,4,10,0,4,3,250,4,4,4,100,5,1958,5
884,53.3809,58,1,2,7,313,102,12,0,5,3,5,5,38,4,10,0,3,4,270,4,4,1,38,3,1987,1
888,53.2558,53,2,4,14,589,40,24,1,5,3,2,2,50,1,0,0,3,2,200,4,3,2,50,4,1958,5
896,53.3809,52,1,2,14,328,149,12,0,3,3,5,5,33,4,10,0,3,1,150,4,4,4,33,3,1900,1
900,53.5379,69,1,1,7,218,83,0,0,3,3,5,5,50,4,10,0,3,4,250,4,4,3,50,4,1971,1
902,53.2558,72,1,3,2,187,73,24,0,5,3,4,4,55,4,10,0,3,1,150,4,4,4,55,4,1900,3
904,53.4703,68,3,1,12,234,58,12,0,4,3,3,3,100,1,10,0,4,4,400,5,4,3,100,5,1958,5
911,53.2421,55,3,2,7,367,67,12,0,3,3,4,4,55,2,10,0,3,4,100,3,4,4,55,4,1971,1
915,53.5379,61,1,1,7,293,86,12,0,5,3,4,4,100,4,10,0,3,1,300,5,4,3,100,5,1940,1
924,53.2558,59,3,2,7,323,78,12,0,5,3,4,4,86,3,10,0,3,3,200,4,4,3,86,5,1971,1
927,53.2667,72,1,3,7,227,53,12,0,5,3,3,3,38,4,11,0,3,4,150,4,4,3,38,3,1999,1
940,53.5379,70,1,2,7,177,179,24,0,4,3,9,9,81,4,22,0,4,4,150,4,4,4,81,5,2004,1
941,53.2667,73,1,3,2,196,73,12,0,3,3,5,5,100,4,10,0,3,4,150,4,4,4,100,5,1993,3
942,53.3809,71,1,2,7,197,136,12,0,5,3,5,5,75,4,10,0,3,3,200,4,4,4,75,5,1940,1
950,53.5817,69,3,1,14,232,63,12,0,3,3,4,4,100,4,10,0,3,4,75,3,4,4,100,5,1958,1
959,53.5379,75,1,3,7,171,82,12,0,5,3,5,5,78,4,12,0,3,1,250,4,4,4,78,5,1915,1
963,53.5379,58,1,1,7,323,77,12,0,5,3,5,5,33,4,20,0,3,1,200,4,4,4,33,3,1915,1
965,53.4703,65,3,2,12,198,120,12,0,5,3,6,6,86,1,10,0,3,4,250,4,5,3,86,5,1987,1
966,53.5379,65,1,4,7,252,90,12,0,5,3,5,2,80,3,10,0,3,4,250,4,4,3,80,5,1971,1
976,53.2667,55,1,2,13,350,101,24,0,3,3,3,3,100,2,20,0,3,4,300,5,4,4,100,5,1900,1
978,53.2667,63,1,2,7,256,118,12,0,4,3,7,7,100,4,10,0,4,2,200,4,4,4,100,5,1971,1
979,53.2421,70,1,2,7,194,121,12,0,3,3,6,6,33,4,12,0,3,4,150,4,4,4,33,3,2004,1
985,53.2558,68,3,2,2,226,105,12,0,5,3,5,5,100,4,10,0,3,4,150,4,4,4,100,5,1979,3
